Time (s),Target Freq (Hz),Commanded Vel (raw),Measured Pos (raw),Measured Vel (raw),Measured Load (raw)
0.015973329544067383,2.0,97,-76528,3,29
0.06399655342102051,2.0,97,-76494,44,109
0.11195659637451172,2.0,97,-76457,52,113
0.15996813774108887,2.0,97,-76404,72,57
0.20795941352844238,2.0,97,-76321,117,-4
0.2559993267059326,2.0,97,-76226,119,0
0.30396580696105957,2.0,97,-76147,97,242
0.3519704341888428,2.0,97,-76124,34,153
0.3999495506286621,2.0,97,-76067,69,263
0.44794511795043945,2.0,97,-76027,62,57
0.49594664573669434,2.0,97,-75912,160,-10
0.5439434051513672,2.0,97,-75798,143,0
0.5919408798217773,2.0,97,-75714,104,197
0.6399388313293457,2.0,97,-75678,58,52
0.6879377365112305,2.0,97,-75589,121,-10
0.7359356880187988,2.0,97,-75494,120,0
0.7839338779449463,2.0,97,-75415,106,92
0.8319337368011475,2.0,97,-75366,52,172
0.8799326419830322,2.0,97,-75331,61,251
0.9279294013977051,2.0,97,-75288,53,165
0.9759321212768555,2.0,97,-75214,120,-19
1.0239312648773193,2.0,97,-75087,158,0
1.0719387531280518,2.0,97,-74992,124,106
1.119924783706665,2.0,97,-74940,58,90
1.1679327487945557,2.0,97,-74880,95,32
1.2159242630004883,2.0,97,-74787,122,0
1.2639341354370117,2.0,97,-74699,114,1
1.3119282722473145,2.0,97,-74622,97,244
1.3599305152893066,2.0,97,-74602,26,169
1.4079344272613525,2.0,97,-74549,66,262
1.455913782119751,2.0,97,-74504,68,70
1.5039143562316895,2.0,97,-74393,157,-12
1.5519142150878906,2.0,97,-74278,144,0
1.5999133586883545,2.0,97,-74190,104,225
1.6479098796844482,2.0,97,-74159,54,42
1.6959095001220703,2.0,97,-74063,125,-7
1.7439074516296387,2.0,97,-73968,118,1
1.7919082641601562,2.0,97,-73887,104,148
1.8399040699005127,2.0,97,-73847,41,188
1.8879036903381348,2.0,97,-73809,59,233
1.9358999729156494,2.0,97,-73762,62,149
1.983902931213379,2.0,97,-73674,137,-18
2.0319063663482666,2.0,97,-73549,152,0
2.079911470413208,2.0,97,-73456,119,186
2.127903461456299,2.0,97,-73417,48,48
2.175910234451294,2.0,97,-73339,112,0
2.2238972187042236,2.0,97,-73246,123,1
2.2719058990478516,2.0,97,-73163,109,22
2.3198931217193604,2.0,97,-73099,75,240
2.3679041862487793,2.0,97,-73079,39,222
2.415904998779297,2.0,97,-73032,57,304
2.463885545730591,2.0,97,-72990,66,44
2.5118942260742188,2.0,97,-72866,173,-11
2.559882640838623,2.0,97,-72752,148,1
2.607896566390991,2.0,97,-72669,98,190
2.655879497528076,2.0,97,-72633,67,18
2.7038817405700684,2.0,97,-72531,133,-3
2.7518770694732666,2.0,97,-72443,113,2
2.7998781204223633,2.0,97,-72365,99,170
2.8478736877441406,2.0,97,-72330,41,179
2.8958749771118164,2.0,97,-72286,59,261
2.94387149810791,2.0,97,-72244,60,96
2.9918718338012695,2.0,97,-72145,148,-14
3.039872646331787,2.0,97,-72023,147,0
3.0878801345825195,2.0,97,-71932,113,207
3.1358673572540283,2.0,97,-71897,46,57
3.1838905811309814,2.0,97,-71813,118,-12
3.231863260269165,2.0,97,-71714,124,1
3.279879093170166,2.0,97,-71633,107,53
3.3278603553771973,2.0,97,-71575,64,195
3.3758809566497803,2.0,97,-71546,51,244
3.423872947692871,2.0,97,-71502,53,242
3.4718542098999023,2.0,97,-71446,90,-7
3.519867181777954,2.0,97,-71314,170,-5
3.5678551197052,2.0,97,-71212,136,48
3.6158547401428223,2.0,97,-71147,73,107
3.6638519763946533,2.0,97,-71096,90,20
3.711852788925171,2.0,97,-70998,129,0
3.7598464488983154,2.0,97,-70913,112,1
3.807847261428833,2.0,97,-70835,98,205
3.855844259262085,2.0,97,-70810,32,143
3.9038448333740234,2.0,97,-70758,69,266
3.9518449306488037,2.0,97,-70718,59,73
3.999842643737793,2.0,97,-70610,153,-11
4.047839403152466,2.0,97,-70497,143,0
4.095844984054565,2.0,97,-70408,111,194
4.143836259841919,2.0,97,-70372,51,54
4.1918580532073975,2.0,97,-70289,113,-8
4.23983359336853,2.0,97,-70193,121,0
4.287847995758057,2.0,97,-70109,108,60
4.335831642150879,2.0,97,-70053,60,204
4.383843898773193,2.0,97,-70024,49,253
4.431838512420654,2.0,97,-69981,54,216
4.479843854904175,2.0,97,-69912,105,-17
4.52782940864563,2.0,97,-69779,165,-4
4.575826168060303,2.0,97,-69678,130,114
4.623823881149292,2.0,97,-69626,54,78
4.671822786331177,2.0,97,-69562,101,15
4.719820976257324,2.0,97,-69463,130,0
4.767820119857788,2.0,97,-69380,112,6
4.8158180713653564,2.0,97,-69308,85,254
4.863813161849976,2.0,97,-69292,33,198
4.911815643310547,2.0,97,-69241,64,252
4.959813356399536,2.0,97,-69190,78,4
5.007815361022949,2.0,97,-69064,171,-5
