Time (s),Target Freq (Hz),Commanded Vel (raw),Measured Pos (raw),Measured Vel (raw),Measured Load (raw)
0.015938520431518555,2.5,121,-143123,9,38
0.06392097473144531,2.5,121,-143082,55,122
0.11192154884338379,2.5,121,-143033,69,104
0.1599130630493164,2.5,121,-142957,110,0
0.2079179286956787,2.5,121,-142848,144,0
0.25591254234313965,2.5,121,-142749,130,212
0.3039274215698242,2.5,121,-142707,48,224
0.351914644241333,2.5,121,-142656,76,213
0.39992523193359375,2.5,121,-142571,133,-12
0.4479103088378906,2.5,121,-142424,186,-3
0.49593544006347656,2.5,121,-142308,149,179
0.54390549659729,2.5,121,-142250,76,16
0.591928243637085,2.5,121,-142141,152,-6
0.6399006843566895,2.5,121,-142030,139,56
0.6879034042358398,2.5,121,-141957,76,218
0.7359001636505127,2.5,121,-141915,80,171
0.7839014530181885,2.5,121,-141826,121,-4
0.8319070339202881,2.5,121,-141691,171,0
0.8799092769622803,2.5,121,-141576,148,101
0.9278934001922607,2.5,121,-141502,86,73
0.9758932590484619,2.5,121,-141416,131,-9
1.0238919258117676,2.5,121,-141299,145,1
1.071890115737915,2.5,121,-141209,107,304
1.119889736175537,2.5,121,-141184,52,183
1.167888879776001,2.5,121,-141102,99,62
1.2158913612365723,2.5,121,-140986,173,-8
1.2638921737670898,2.5,121,-140857,166,3
1.3118984699249268,2.5,121,-140763,114,179
1.3598849773406982,2.5,121,-140708,96,-5
1.407895803451538,2.5,121,-140583,161,0
1.4558813571929932,2.5,121,-140483,132,208
1.503903865814209,2.5,121,-140438,48,161
1.5518782138824463,2.5,121,-140374,94,166
1.5998947620391846,2.5,121,-140284,135,-8
1.6478767395019531,2.5,121,-140147,172,0
1.6958746910095215,2.5,121,-140035,143,168
1.7438852787017822,2.5,121,-139978,70,43
1.7918713092803955,2.5,121,-139879,144,-6
1.839883804321289,2.5,121,-139762,145,20
1.8878793716430664,2.5,121,-139678,88,271
1.9358851909637451,2.5,121,-139649,63,213
1.983865737915039,2.5,121,-139570,102,7
2.0318679809570312,2.5,121,-139435,181,-6
2.0798633098602295,2.5,121,-139310,160,68
2.1278634071350098,2.5,121,-139231,86,103
2.1758596897125244,2.5,121,-139159,124,-7
2.2238612174987793,2.5,121,-139035,154,0
2.271865129470825,2.5,121,-138937,120,324
2.319861650466919,2.5,121,-138919,35,226
2.367854118347168,2.5,121,-138849,90,139
2.415870428085327,2.5,121,-138738,168,-12
2.463855266571045,2.5,121,-138600,179,0
2.5118680000305176,2.5,121,-138494,134,182
2.5598504543304443,2.5,121,-138437,87,1
2.6078689098358154,2.5,121,-138320,156,0
2.655848979949951,2.5,121,-138216,137,176
2.703850269317627,2.5,121,-138165,49,164
2.7518463134765625,2.5,121,-138106,95,172
2.7998483180999756,2.5,121,-138018,134,-10
2.8478446006774902,2.5,121,-137879,169,0
2.8958475589752197,2.5,121,-137766,143,194
2.9438533782958984,2.5,121,-137712,65,40
2.9918389320373535,2.5,121,-137608,148,-7
3.03983736038208,2.5,121,-137492,145,19
3.0878379344940186,2.5,121,-137409,92,267
3.1358377933502197,2.5,121,-137377,66,203
3.1838364601135254,2.5,121,-137297,103,19
3.2318360805511475,2.5,121,-137168,180,-7
3.279832601547241,2.5,121,-137041,162,55
3.3278307914733887,2.5,121,-136957,97,108
3.375828981399536,2.5,121,-136885,119,-10
3.4238457679748535,2.5,121,-136765,153,0
3.4718267917633057,2.5,121,-136669,124,292
3.519841194152832,2.5,121,-136641,39,132
3.5678257942199707,2.5,121,-136558,110,72
3.6158413887023926,2.5,121,-136448,163,-5
3.663823366165161,2.5,121,-136325,159,0
3.7118215560913086,2.5,121,-136223,126,208
3.7598214149475098,2.5,121,-136174,75,14
3.8078176975250244,2.5,121,-136058,156,0
3.8558177947998047,2.5,121,-135950,140,105
3.9038171768188477,2.5,121,-135887,63,216
3.9518232345581055,2.5,121,-135844,76,248
3.999825954437256,2.5,121,-135772,96,5
4.047812461853027,2.5,121,-135631,186,-7
4.095812082290649,2.5,121,-135503,162,102
4.143808603286743,2.5,121,-135427,85,74
4.191811561584473,2.5,121,-135342,133,-8
4.23980975151062,2.5,121,-135222,151,2
4.2878077030181885,2.5,121,-135130,106,303
4.33580470085144,2.5,121,-135106,52,188
4.383808135986328,2.5,121,-135023,109,1
4.431816101074219,2.5,121,-134890,180,-3
4.4798057079315186,2.5,121,-134771,156,39
4.5278160572052,2.5,121,-134685,101,139
4.575798273086548,2.5,121,-134622,107,-2
4.623811721801758,2.5,121,-134503,154,0
4.6717963218688965,2.5,121,-134402,130,287
4.719812631607056,2.5,121,-134374,32,187
4.76779842376709,2.5,121,-134306,94,202
4.815790414810181,2.5,121,-134219,140,-15
4.863793134689331,2.5,121,-134071,181,0
4.9117913246154785,2.5,121,-133959,143,190
4.959792375564575,2.5,121,-133901,78,8
5.0077948570251465,2.5,121,-133788,153,-2
5.055799722671509,2.5,121,-133679,139,91
5.10378360748291,2.5,121,-133614,65,197
5.151784658432007,2.5,121,-133566,84,215
5.199781656265259,2.5,121,-133484,114,-5
5.247785329818726,2.5,121,-133345,178,-2
5.29578161239624,2.5,121,-133227,151,114
5.343778371810913,2.5,121,-133156,81,77
5.391780376434326,2.5,121,-133071,133,-9
5.43979024887085,2.5,121,-132952,149,0
5.487776041030884,2.5,121,-132858,111,314
5.53579044342041,2.5,121,-132836,46,177
5.583770036697388,2.5,121,-132754,106,44
5.631785869598389,2.5,121,-132633,176,-6
5.67977237701416,2.5,121,-132509,162,13
5.727795600891113,2.5,121,-132417,109,170
5.775774955749512,2.5,121,-132361,97,-5
5.823765993118286,2.5,121,-132238,159,0
5.871764421463013,2.5,121,-132137,133,238
5.919761657714844,2.5,121,-132095,39,184
5.967763185501099,2.5,121,-132034,92,208
6.015763759613037,2.5,121,-131949,127,-11
6.063769578933716,2.5,121,-131805,180,-1
6.111772298812866,2.5,121,-131689,147,161
6.159756898880005,2.5,121,-131627,76,35
6.207756996154785,2.5,121,-131525,145,-6
6.255755424499512,2.5,121,-131410,143,38
6.3037519454956055,2.5,121,-131334,79,243
6.351751804351807,2.5,121,-131297,73,199
6.399749755859375,2.5,121,-131213,114,-3
6.447752952575684,2.5,121,-131075,177,0
6.495747804641724,2.5,121,196722,153,108
6.543761491775513,2.5,121,196793,77,90
6.591747283935547,2.5,121,196872,129,-6
6.639761686325073,2.5,121,196991,153,1
6.687741279602051,2.5,121,197088,116,313
6.7357563972473145,2.5,121,197109,42,209
6.783739805221558,2.5,121,197183,96,105
6.831738471984863,2.5,121,197296,172,-9
6.879744291305542,2.5,121,197431,173,0
6.927737474441528,2.5,121,197533,125,186
6.975735664367676,2.5,121,197588,90,0
7.023732423782349,2.5,121,197709,157,0
7.071737766265869,2.5,121,197812,136,198
7.119741916656494,2.5,121,197860,48,154
7.1677491664886475,2.5,121,197926,98,186
7.215729475021362,2.5,121,198014,132,-10
7.263728141784668,2.5,121,198153,171,0
7.311727046966553,2.5,121,198265,142,166
7.3597252368927,2.5,121,198324,75,27
7.407725095748901,2.5,121,198428,149,-5
7.4557225704193115,2.5,121,198540,141,43
7.503721475601196,2.5,121,198615,77,239
7.551733732223511,2.5,121,198653,73,219
7.599719762802124,2.5,121,198730,102,10
7.647734642028809,2.5,121,198863,182,-6
7.695718050003052,2.5,121,198988,161,74
7.743727207183838,2.5,121,199067,91,88
7.7917163372039795,2.5,121,199144,127,-13
7.839718341827393,2.5,121,199264,152,1
7.887711524963379,2.5,121,199359,121,273
7.935709714889526,2.5,121,199389,43,159
7.983710765838623,2.5,121,199465,104,73
8.031708240509033,2.5,121,199577,163,-7
8.079707860946655,2.5,121,199704,162,0
8.127710103988647,2.5,121,199804,123,187
8.175717115402222,2.5,121,199857,82,7
8.223718881607056,2.5,121,199973,155,0
8.271706342697144,2.5,121,200080,138,149
8.319704294204712,2.5,121,200137,55,202
8.367698431015015,2.5,121,200189,85,225
8.4156973361969,2.5,121,200269,115,-7
8.463698148727417,2.5,121,200413,182,-3
8.51169753074646,2.5,121,200534,152,158
8.559706211090088,2.5,121,200596,75,42
8.607693433761597,2.5,121,200695,145,-8
8.655706405639648,2.5,121,200809,143,19
8.703691244125366,2.5,121,200892,90,261
8.751704216003418,2.5,121,200923,64,222
8.799688577651978,2.5,121,201001,104,0
8.847702026367188,2.5,121,201136,182,-2
8.895686626434326,2.5,121,201255,157,56
8.94368577003479,2.5,121,201337,96,139
8.991682529449463,2.5,121,201402,110,-5
9.03968071937561,2.5,121,201523,154,0
9.087683200836182,2.5,121,201624,130,287
9.1356782913208,2.5,121,201654,37,184
9.183687210083008,2.5,121,201724,96,162
9.231687784194946,2.5,121,201826,151,-13
9.279699802398682,2.5,121,201962,173,0
9.327672481536865,2.5,121,202072,136,228
9.37567400932312,2.5,121,202120,73,3
9.423672676086426,2.5,121,202242,159,-1
9.471670389175415,2.5,121,202349,138,124
9.519669532775879,2.5,121,202410,59,199
