Time (s),Target Freq (Hz),Commanded Vel (raw),Measured Pos (raw),Measured Vel (raw),Measured Load (raw)
0.015969514846801758,2.25,109,150436,8,55
0.06395840644836426,2.25,109,150468,43,113
0.11195802688598633,2.25,109,150513,62,121
0.15996789932250977,2.25,109,150576,90,4
0.20795512199401855,2.25,109,150680,137,0
0.2559700012207031,2.25,109,150777,125,108
0.30395984649658203,2.25,109,150833,56,203
0.35196566581726074,2.25,109,150872,67,254
0.3999500274658203,2.25,109,150930,77,62
0.44796013832092285,2.25,109,151048,167,-10
0.4959409236907959,2.25,109,151172,155,1
0.5439395904541016,2.25,109,151261,103,183
0.5919373035430908,2.25,109,151310,84,4
0.639937162399292,2.25,109,151426,149,0
0.6879348754882812,2.25,109,151519,123,84
0.7359340190887451,2.25,109,151580,64,190
0.7839322090148926,2.25,109,151622,68,248
0.8319296836853027,2.25,109,151677,74,67
0.8799312114715576,2.25,109,151791,168,-8
0.9279303550720215,2.25,109,151911,155,0
0.9759271144866943,2.25,109,152005,115,201
1.023923635482788,2.25,109,152047,71,27
1.0719249248504639,2.25,109,152151,142,-1
1.1199243068695068,2.25,109,152249,128,8
1.167936086654663,2.25,109,152329,96,244
1.2159192562103271,2.25,109,152357,46,219
1.2639379501342773,2.25,109,152412,68,252
1.3119275569915771,2.25,109,152477,108,-15
1.3599450588226318,2.25,109,152619,177,-4
1.407918930053711,2.25,109,152730,143,133
1.4559316635131836,2.25,109,152788,68,67
1.503913402557373,2.25,109,152871,126,-15
1.5519120693206787,2.25,109,152979,135,0
1.5999090671539307,2.25,109,153068,110,240
1.6479077339172363,2.25,109,153101,41,156
1.6959059238433838,2.25,109,153162,79,255
1.7439067363739014,2.25,109,153220,89,0
1.7919034957885742,2.25,109,153353,174,-3
1.8399040699005127,2.25,109,153469,146,65
1.8879005908966064,2.25,109,153542,84,143
1.9359002113342285,2.25,109,153600,96,-8
1.983901023864746,2.25,109,153717,148,0
2.031898260116577,2.25,109,153808,122,118
2.0798983573913574,2.25,109,153863,57,168
2.127894878387451,2.25,109,153909,71,248
2.175894021987915,2.25,109,153962,78,39
2.223891258239746,2.25,109,154083,171,-7
2.2719085216522217,2.25,109,154199,153,4
2.3198976516723633,2.25,109,154286,103,188
2.367914915084839,2.25,109,154330,78,16
2.4158878326416016,2.25,109,154439,145,0
2.4639041423797607,2.25,109,154535,125,10
2.5118868350982666,2.25,109,154615,94,241
2.5598840713500977,2.25,109,154642,46,209
2.6078882217407227,2.25,109,154701,75,187
2.655879020690918,2.25,109,154781,127,-17
2.703881025314331,2.25,109,154918,168,0
2.7518770694732666,2.25,109,155023,133,177
2.799875259399414,2.25,109,155073,61,52
2.8478734493255615,2.25,109,155164,131,-11
2.895881414413452,2.25,109,155272,133,0
2.9438745975494385,2.25,109,155358,106,257
2.991870403289795,2.25,109,155389,44,192
3.039869546890259,2.25,109,155449,73,215
3.0878713130950928,2.25,109,155520,112,-15
