Time (s),Target Freq (Hz),Commanded Vel (raw),Measured Pos (raw),Measured Vel (raw),Measured Load (raw)
4.76837158203125e-07,0.500000019868215,24,-359293,1,6
0.06398701667785645,0.5026661256949106,24,-359281,14,7
0.12798261642456055,0.5053326090176901,25,-359262,18,24
0.19196462631225586,0.507998526096344,25,-359246,14,55
0.2559635639190674,0.5106651484966278,25,-359234,12,87
0.3199806213378906,0.5133325258890787,25,-359224,9,122
0.38396358489990234,0.5159984827041626,25,-359215,9,134
0.4479663372039795,0.5186652640501658,25,-359198,19,164
0.511955738067627,0.5213314890861511,25,-359187,9,202
0.575955867767334,0.5239981611569723,25,-359178,10,194
0.6399586200714111,0.5266649425029755,26,-359157,21,200
0.7039544582366943,0.5293314357598623,26,-359132,26,204
0.7679531574249268,0.5319980482260386,26,-359105,30,106
0.8319644927978516,0.5346651871999105,26,-359041,76,-17
0.8959496021270752,0.5373312334219614,26,-358965,61,-4
0.9599504470825195,0.539997935295105,26,-358932,28,0
1.0239758491516113,0.5426656603813171,26,-358904,27,1
1.0879673957824707,0.5453319748242696,26,-358877,26,1
1.151947021484375,0.547997792561849,27,-358850,26,2
1.2159457206726074,0.5506644050280253,27,-358824,26,4
1.2799444198608398,0.5533310174942017,27,-358798,23,16
1.3439440727233887,0.5559976696968079,27,-358776,21,42
1.4079399108886719,0.5586641629536947,27,-358758,18,40
1.4719414710998535,0.5613308946291605,27,-358734,22,52
1.5359575748443604,0.5639982322851816,27,-358709,28,18
1.5999417304992676,0.5666642387708029,27,-358671,37,0
1.6639399528503418,0.5693308313687643,28,-358634,36,0
1.7279584407806396,0.57199826836586,28,-358603,29,0
1.7919340133666992,0.5746639172236124,28,-358576,26,4
1.855936050415039,0.5773306687672933,28,-358549,27,3
1.9199342727661133,0.5799972613652548,28,-358520,28,4
1.983931541442871,0.5826638142267863,28,-358493,24,33
2.047945976257324,0.5853310823440552,28,-358477,15,67
2.111945629119873,0.5879977345466614,29,-358463,13,99
2.175934314727783,0.5906639297803243,29,-358450,12,141
2.239943265914917,0.5933309694131216,29,-358438,12,165
2.3039307594299316,0.5959971149762472,29,-358424,14,205
2.3679254055023193,0.5986635585625967,29,-358411,12,226
2.4319489002227783,0.6013312041759491,29,-358397,14,244
2.4959232807159424,0.6039968033631643,29,-358377,22,222
2.559924364089966,0.6066635151704153,29,-358341,42,128
2.62392520904541,0.6093302170435587,30,-358265,90,-22
2.68792462348938,0.6119968593120575,30,-358185,66,0
2.7519211769104004,0.6146633823712667,30,-358147,37,0
2.815919876098633,0.617329994837443,30,-358114,31,1
2.879922389984131,0.6199967662493387,30,-358084,30,0
2.943937301635742,0.6226640542348226,30,-358054,30,2
3.00791597366333,0.6253298322359722,30,-358027,25,34
3.071920394897461,0.6279966831207275,30,-358007,19,32
3.1359260082244873,0.6306635836760203,31,-357984,23,49
3.1999168395996094,0.6333298683166504,31,-357956,31,25
