Time (s),Target Freq (Hz),Commanded Vel (raw),Measured Pos (raw),Measured Vel (raw),Measured Load (raw)
0.015962839126586914,0.5,24,17979,1,5
0.06395483016967773,0.5,24,17987,11,5
0.11195063591003418,0.5,24,18001,19,4
0.15994548797607422,0.5,24,18018,21,5
0.20795369148254395,0.5,24,18035,21,28
0.25594162940979004,0.5,24,18046,14,54
0.3039398193359375,0.5,24,18055,10,85
0.3519415855407715,0.5,24,18061,8,105
0.3999354839324951,0.5,24,18068,9,128
0.44793128967285156,0.5,24,18074,8,162
0.4959297180175781,0.5,24,18079,7,184
0.5439260005950928,0.5,24,18086,8,208
0.5919251441955566,0.5,24,18092,8,228
0.6399250030517578,0.5,24,18099,9,236
0.6879432201385498,0.5,24,18109,13,250
0.7359328269958496,0.5,24,18120,12,279
0.7839310169219971,0.5,24,18129,14,265
0.8319127559661865,0.5,24,18145,21,250
0.8799240589141846,0.5,24,18165,29,225
0.9279074668884277,0.5,24,18194,42,56
0.9759180545806885,0.5,24,18262,94,-26
1.0239040851593018,0.5,24,18327,79,-10
1.0719029903411865,0.5,24,18359,38,0
1.119901180267334,0.5,24,18380,27,0
1.167895793914795,0.5,24,18399,25,1
1.2158985137939453,0.5,24,18418,24,1
1.263892650604248,0.5,24,18436,24,7
1.3118908405303955,0.5,24,18452,19,29
1.3598875999450684,0.5,24,18463,15,48
1.407884120941162,0.5,24,18473,13,74
1.4558823108673096,0.5,24,18482,11,87
1.5038838386535645,0.5,24,18491,13,104
1.5518763065338135,0.5,24,18501,13,116
1.5998802185058594,0.5,24,18512,16,115
1.6478729248046875,0.5,24,18528,19,125
1.6958742141723633,0.5,24,18541,18,112
1.7438766956329346,0.5,24,18560,26,93
1.7918946743011475,0.5,24,18585,34,32
1.8398640155792236,0.5,24,18622,50,-10
1.8878741264343262,0.5,24,18663,52,-12
1.9358618259429932,0.5,24,18691,34,-2
1.983882188796997,0.5,24,18710,25,0
2.0318551063537598,0.5,24,18725,20,0
2.0798544883728027,0.5,24,18742,22,0
2.1278560161590576,0.5,24,18759,24,0
2.1758460998535156,0.5,24,18778,23,4
2.2238550186157227,0.5,24,18793,21,23
2.2718422412872314,0.5,24,18806,15,47
2.3198416233062744,0.5,24,18815,10,87
2.3678348064422607,0.5,24,18818,5,109
2.4158356189727783,0.5,24,18824,7,130
2.4638350009918213,0.5,24,18831,9,147
2.5118298530578613,0.5,24,18840,12,162
2.559826135635376,0.5,24,18849,12,183
2.607835054397583,0.5,24,18857,10,194
2.655822515487671,0.5,24,18867,14,207
2.703828811645508,0.5,24,18877,11,251
2.751823663711548,0.5,24,18882,6,253
2.7998406887054443,0.5,24,18892,15,239
2.8478305339813232,0.5,24,18910,24,221
2.8958241939544678,0.5,24,18933,33,131
2.94381046295166,0.5,24,18975,60,-5
2.991816759109497,0.5,24,19043,91,-25
3.0398056507110596,0.5,24,19091,59,-6
3.087801933288574,0.5,24,19115,30,0
3.135801315307617,0.5,24,19133,24,0
3.18379545211792,0.5,24,19151,24,1
3.2318015098571777,0.5,24,19168,23,2
3.2797915935516357,0.5,24,19185,23,2
3.3277907371520996,0.5,24,19203,23,12
3.3758020401000977,0.5,24,19218,18,32
3.4237849712371826,0.5,24,19229,14,46
3.471781015396118,0.5,24,19240,13,70
3.5197815895080566,0.5,24,19249,12,84
3.5677762031555176,0.5,24,19259,12,103
3.615778684616089,0.5,24,19268,12,109
3.663770914077759,0.5,24,19280,15,134
3.7117793560028076,0.5,24,19290,12,147
3.7597696781158447,0.5,24,19300,15,124
3.807783365249634,0.5,24,19319,27,91
3.855774402618408,0.5,24,19346,38,45
3.903795003890991,0.5,24,19383,51,-10
3.9517579078674316,0.5,24,19429,54,-12
3.9997692108154297,0.5,24,19457,36,0
4.0477540493011475,0.5,24,19475,23,0
4.095752716064453,0.5,24,19492,23,0
4.1437482833862305,0.5,24,19509,23,1
4.1917455196380615,0.5,24,19527,23,2
4.239752769470215,0.5,24,19545,24,8
4.287741661071777,0.5,24,19561,19,32
4.335739374160767,0.5,24,19572,13,55
4.383737325668335,0.5,24,19580,10,92
4.431736707687378,0.5,24,19585,7,109
4.4797375202178955,0.5,24,19592,9,135
4.527729034423828,0.5,24,19598,8,155
4.575732946395874,0.5,24,19604,9,176
4.623730897903442,0.5,24,19612,9,185
4.671722888946533,0.5,24,19623,15,208
4.719727039337158,0.5,24,19632,11,244
4.771554946899414,0.5,24,19636,5,260
4.815732955932617,0.5,24,19643,10,252
4.863727331161499,0.5,24,19657,20,229
4.911734580993652,0.5,24,19681,32,194
4.959707975387573,0.5,24,19711,42,112
5.0077245235443115,0.5,24,19758,69,-22
5.055704593658447,0.5,24,19829,85,-21
5.103703737258911,0.5,24,19868,46,0
5.151702880859375,0.5,24,19888,27,0
5.199695825576782,0.5,24,19908,25,0
5.247699022293091,0.5,24,19926,25,0
5.29569411277771,0.5,24,19945,24,1
5.343689203262329,0.5,24,19964,23,7
5.391690015792847,0.5,24,19980,19,30
5.439686298370361,0.5,24,19990,14,44
