Time (s),Target Freq (Hz),Commanded Vel (raw),Measured Pos (raw),Measured Vel (raw),Measured Load (raw)
0.015958786010742188,0.75,36,25542,2,7
0.0639488697052002,0.75,36,25555,18,3
0.11194634437561035,0.75,36,25577,30,2
0.1599440574645996,0.75,36,25602,33,8
0.20794367790222168,0.75,36,25626,30,55
0.2559499740600586,0.75,36,25640,18,93
0.3039510250091553,0.75,36,25651,13,139
0.3519439697265625,0.75,36,25659,11,162
0.3999330997467041,0.75,36,25670,15,186
0.4479353427886963,0.75,36,25684,18,193
0.4959273338317871,0.75,36,25701,24,236
0.5439271926879883,0.75,36,25714,15,281
0.591923713684082,0.75,36,25723,13,267
0.6399304866790771,0.75,36,25744,29,206
0.6879205703735352,0.75,36,25784,59,18
0.735929012298584,0.75,36,25869,117,-21
0.7839155197143555,0.75,36,25938,82,0
0.8319265842437744,0.75,36,25973,47,0
0.8799164295196533,0.75,36,26004,41,6
0.9279251098632812,0.75,36,26033,36,16
0.9759044647216797,0.75,36,26056,27,78
1.0239031314849854,0.75,36,26066,15,76
1.0719022750854492,0.75,36,26085,23,112
1.119898796081543,0.75,36,26100,19,129
1.167895793914795,0.75,36,26116,21,140
1.2158949375152588,0.75,36,26135,29,98
1.2639098167419434,0.75,36,26170,48,22
1.311901330947876,0.75,36,26226,76,-15
1.3599052429199219,0.75,36,26276,60,-1
1.4078845977783203,0.75,36,26306,39,1
1.4558887481689453,0.75,36,26334,36,2
1.5038819313049316,0.75,36,26361,36,7
1.5518808364868164,0.75,36,26387,31,47
1.5998754501342773,0.75,36,26403,19,98
1.6478817462921143,0.75,36,26412,11,143
1.6958730220794678,0.75,36,26419,9,165
1.7438819408416748,0.75,36,26430,15,186
1.7918674945831299,0.75,36,26444,18,227
1.839881181716919,0.75,36,26455,13,251
1.8878633975982666,0.75,36,26467,17,251
1.9358792304992676,0.75,36,26488,30,229
1.9838578701019287,0.75,36,26518,40,175
2.0318572521209717,0.75,36,26563,66,-11
